1.0 0.0
2.0 396.60765773228235
3.0 372.9247316632952
4.0 353.2580291748047
5.0 340.7706435067313
6.0 327.59469233921595
7.0 318.4481654575893
8.0 306.9019708905901
9.0 295.3949467250279
10.0 281.2458734239851
11.0 264.09982485089984
12.0 250.63425603594098
13.0 240.91896177019393
14.0 229.17253101893834
15.0 218.30825320652554
16.0 208.39644628252302
17.0 195.86373094831194
18.0 186.7851896558489
19.0 173.41141308375768
20.0 161.5097143990653
21.0 150.40665130615236
22.0 141.29671821594238
23.0 133.3391993386405
24.0 129.25735697065082
25.0 121.64331468854631
26.0 114.61896307809012
27.0 104.24456988743373
28.0 86.59608666556223
29.0 66.29626017979213
30.0 52.060451180594306
31.0 43.59619829995292
32.0 40.73400301252093
33.0 39.751326724461144
34.0 40.52145195007324
35.0 39.22164170401437
36.0 36.568833569117956
37.0 33.46740531921387
38.0 32.01540393829346
39.0 29.795120702471053
